Z,N,A,B_k_p,B_k_n,B_k_tot,dB_k,f_p,f_n,partial_idx,S_dom,coul_idx,BindingEnergy,E_exp,E_pred,Residual
8,10,18,6,14,20,-8,1.0,0.2,1.04,3,18.666666666666668,139.807268,139.807268,143.8577730720859,4.050505072085912
8,11,19,6,18,24,-12,1.0,0.3,1.09,3,18.666666666666668,143.762596,143.762596,151.80941748650076,8.046821486500761
8,12,20,6,22,28,-16,1.0,0.4,1.1600000000000001,3,18.666666666666668,151.370778,151.370778,159.42295015861094,8.052172158610944
8,13,21,6,26,32,-20,1.0,0.5,1.25,3,18.666666666666668,155.176973,155.176973,166.6983710884164,11.52139808841639
8,14,22,6,30,36,-24,1.0,0.6,1.3599999999999999,3,18.666666666666668,162.02338,162.02338,173.6356802759171,11.612300275917107
8,15,23,6,34,40,-28,1.0,0.7,1.49,3,18.666666666666668,164.766553,164.766553,180.23487772111312,15.468324721113135
8,16,24,6,38,44,-32,1.0,0.8,1.6400000000000001,3,18.666666666666668,168.478481,168.478481,186.49596342400443,18.01748242400444
8,17,25,6,42,48,-36,1.0,0.9,1.81,3,18.666666666666668,168.380597,168.380597,192.418937384591,24.03834038459101
8,18,26,6,46,52,-40,1.0,1.0,2.0,3,18.666666666666668,168.431751,168.431751,198.00379960287287,29.572048602872883
9,5,14,10,3,13,7,0.1,0.5,0.26,3,24.0,72.34915,72.34915,121.91440878275266,49.565258782752665
9,6,15,10,4,14,6,0.1,0.6666666666666666,0.45444444444444443,3,24.0,97.252576,97.252576,127.46350406178446,30.210928061784458
9,7,16,10,5,15,5,0.1,0.8333333333333334,0.7044444444444445,3,24.0,111.419597,111.419597,132.0734000566365,20.653803056636505
9,8,17,10,6,16,4,0.1,1.0,1.01,3,24.0,128.219729,128.219729,135.7440967673088,7.524367767308803
9,9,18,10,10,20,0,0.1,0.1,0.020000000000000004,3,24.0,137.369293,137.369293,161.27755178156897,23.908258781568975
9,10,19,10,14,24,-4,0.1,0.2,0.05000000000000001,3,24.0,147.801487,147.801487,169.56730793828854,21.765820938288527
9,11,20,10,18,28,-8,0.1,0.3,0.1,3,24.0,154.402799,154.402799,177.51895235270345,23.116153352703463
9,12,21,10,22,32,-12,0.1,0.4,0.17000000000000004,3,24.0,162.50432,162.50432,185.1324850248136,22.628165024813597
9,13,22,10,26,36,-16,0.1,0.5,0.26,3,24.0,167.73449,167.73449,192.40790595461903,24.67341595461903
9,14,23,10,30,40,-20,0.1,0.6,0.37,3,24.0,175.273928,175.273928,199.34521514211977,24.071287142119758
9,15,24,10,34,44,-24,0.1,0.7,0.49999999999999994,3,24.0,179.12558,179.12558,205.94441258731578,26.818832587315768
9,16,25,10,38,48,-28,0.1,0.8,0.6500000000000001,3,24.0,183.480239,183.480239,212.2054982902071,28.725259290207077
9,17,26,10,42,52,-32,0.1,0.9,0.8200000000000001,3,24.0,184.528093,184.528093,218.12847225079366,33.60037925079365
9,18,27,10,46,56,-36,0.1,1.0,1.01,3,24.0,185.836765,185.836765,223.7133344690755,37.87656946907549
9,19,28,10,55,65,-45,0.1,0.07142857142857142,0.015102040816326531,4,18.0,185.729566,185.729566,248.0554798698212,62.32591386982119
9,20,29,10,64,74,-54,0.1,0.14285714285714285,0.030408163265306123,4,18.0,186.730845,186.730845,256.528029647733,69.79718464773299
10,6,16,14,4,18,10,0.2,0.6666666666666666,0.48444444444444446,3,30.0,97.325273,97.325273,136.0636175685992,38.7383445685992
10,7,17,14,5,19,9,0.2,0.8333333333333334,0.7344444444444446,3,30.0,112.901645,112.901645,140.67351356345125,27.77186856345125
10,8,18,14,6,20,8,0.2,1.0,1.04,3,30.0,132.153601,132.153601,144.34421027412353,12.190609274123517
