Z,N,BindingEnergy
21,29,431.674544
21,30,438.42687
21,31,443.659928
21,32,449.318679
21,33,453.887582
21,34,457.832383
21,35,461.031989
21,36,465.023365
21,37,467.477775
21,38,470.91957
22,16,280.398105
22,17,296.340554
22,18,314.490646
22,19,329.427081
22,20,346.904633
22,21,359.176063
22,22,375.475089
22,23,385.005037
22,24,398.194735
22,25,407.072451
22,26,418.699007
22,27,426.841402
22,28,437.780515
22,29,444.152884
22,30,451.961524
22,31,457.394854
22,32,464.404272
22,33,468.516742
22,34,473.914675
22,35,477.412359
22,36,482.493584
22,37,485.115663
22,38,489.759085
22,39,491.887472
23,17,294.528839
23,18,313.172622
23,19,329.170961
23,20,347.097493
23,21,360.990655
23,22,377.089596
23,23,390.360985
23,24,403.362334
23,25,413.904351
23,26,425.457226
23,27,434.789884
23,28,445.84115
23,29,453.152372
23,30,461.630477
23,31,467.744729
23,32,475.074581
23,33,480.23964
23,34,486.447973
23,35,490.523184
23,36,496.126045
23,37,499.353596
23,38,504.714269
23,39,507.448127
23,40,512.156754
24,18,314.229909
24,19,330.423862
24,20,349.896675
24,21,363.845726
24,22,381.975324
24,23,395.127948
24,24,411.462557
24,25,422.044163
24,26,435.044487
24,27,444.306072
24,28,456.345467
24,29,464.284609
24,30,474.003651
24,31,480.249896
24,32,488.506771
24,33,493.685803
24,34,501.291377
24,35,505.282753
24,36,512.329431
24,37,516.339437
24,38,522.817903
24,39,525.244369
24,40,531.135993
24,41,533.459995
25,19,329.180357
25,20,348.76495
25,21,364.092613
25,22,382.056405
25,23,396.862431
25,24,413.547282
25,25,426.629112
25,26,440.315948
25,27,450.851445
25,28,462.905277
25,29,471.844286
25,30,482.070713
25,31,489.341136
25,32,497.99222
25,33,504.477206
25,34,512.120041
25,35,517.639067
25,36,524.527391
25,37,529.329167
25,38,535.686539
25,39,540.106403
25,40,545.970083
25,41,549.644751
25,42,554.921589
26,19,329.30615
26,20,350.18552
26,21,365.634277
26,22,385.190925
26,23,399.736132
26,24,417.699925
26,25,431.513909
26,26,447.696684
26,27,458.380568
26,28,471.759079
26,29,481.056993
26,30,492.254317
26,31,499.900318
26,32,509.944731
26,33,516.525662
26,34,525.345439
26,35,530.927807
26,36,538.979568
26,37,543.930383
26,38,551.303084
26,39,555.583223
26,40,562.685791
26,41,567.012505
26,42,572.745775
